1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	48_clip	49_clip	5_clip	50_clip	51_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	68_clip	69_clip	7_clip	70_clip	71_clip	72_clip	73_clip	74_clip	75_clip	76_clip	77_clip	78_clip	79_clip	8_clip	80_clip	81_clip	82_clip	83_clip	84_clip	85_clip	86_clip	87_clip	88_clip	89_clip	9_clip	90_clip	91_clip	92_clip	93_clip	94_clip	95_clip	96_clip
sq33	10732	54	1	6703	1	393	1	1	0	0	1	525	10	1	0	0	5528	0	0	0	7	0	281	0	2	0	4	0	1	0	0	0	12	19	0	1	1	0	0	0	0	16	1	57	4690	0	0	5	0	0	0	9	2	3	0	482	0	21	2	107	2	4	3	0	0	0	78	1	66	349	18	17	0	0	0	1	0	29	1	5	19	0	20	0	3614	0	1	2	1	8	1	48	960	6527	632	1367
sq34	5	2305	3223	233	0	298	1	0	155	203	0	200	753	2699	865	7046	2	0	1	55	0	0	143	0	0	0	759	0	153	1	1041	0	426	6247	0	0	0	4	1	1	0	0	25	624	3178	214	7943	0	0	506	1	33	115	0	0	1141	0	12	0	5	196	0	0	0	0	4	148	162	13	0	0	20	0	12	0	1955	2	10	1	65	0	0	2	0	1	1	0	0	0	0	1	46	0	0	1	0
sq35	0	0	16235	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1562	2647	1765	0	0	949	0	0	1	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	8579	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	11186	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	2
sq36	2568	2	0	1280	0	572	0	1	0	1	2	0	152	9	55	154	6376	206	0	23	939	0	0	2	1	0	2	1	1	0	1	2	1	160	0	2	2	2643	68	6813	48	2393	134	382	73	2	57	5	1	1	9	4	160	2	1	3214	1	3	1	6	0	3	0	128	38	79	205	226	9	26	184	188	3	1	0	0	0	116	1	308	1	2	3	2	0	2	0	14	0	853	23	10184	293	223	43	274
sq37	54	453	0	24	4	99	0	0	0	0	1	32	57	0	2366	402	1304	4	0	0	848	1	1	6	7	494	73	58	0	5	9	0	1	3	0	2	51	1685	1866	135	249	44	256	282	591	0	0	5	1	78	18	600	8780	626	69	320	0	7	1	0	0	0	34	1358	4669	109	205	519	5	381	0	412	6	388	380	95	86	108	1	16	3	4	0	3	1	0	0	0	1137	343	7988	47	39	90	46	403
sq38	842	11	109	722	3	222	0	71	264	219	154	244	633	263	2558	529	609	839	151	185	462	240	5	418	207	417	401	243	512	236	1	815	793	1265	150	119	210	524	295	2215	362	573	397	882	347	559	115	75	849	303	25	193	1413	2	3	468	159	140	59	52	47	0	611	469	674	127	243	267	222	568	683	748	438	295	121	964	625	93	669	850	273	101	291	21	48	94	142	463	262	1138	278	56	417	1274	266	806
sq39	49	1497	171	161	1014	382	254	1787	988	2681	189	904	209	141	772	284	152	2	256	1073	10	9	584	4	2	24	344	240	491	1276	568	1742	756	1242	207	19	46	24	48	86	22	1	37	97	286	165	888	34	0	1245	185	157	68	216	1260	126	1018	730	598	1183	1499	0	135	44	38	27	553	73	52	36	3	19	19	1	4	50	114	171	162	2	1104	1497	897	171	18	1139	143	187	1994	285	67	117	73	13	40	23
sq40	26	3700	4301	119	637	123	1	110	0	0	1	880	19	831	17	7	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1178	5	0	14	868	0	0	0	0	0	1	0	0	892	1000	1	2	56	3319	6	1477	0	0	1	0	138	7744	6311	2464	0	1	70	0	1	1	251	324	35	17	271	0	0	2	0	1	0	844	191	0	0	0	1	0	0	0	0	2	0	646	2	3	399	0	1	0	0
sq41	0	4	29	0	0	0	0	153	2	0	9	0	2	0	0	0	0	177	3	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	21	0	0	363	38077	179	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	174	0	0	0	0	6	0	1	0	0	0	49	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sq42	0	1	0	0	1	0	0	0	0	0	0	0	57	0	0	0	0	111	151	1	15	926	0	22920	562	77	0	0	0	0	0	0	0	0	1	0	5	3	2	0	4	22	8	0	0	0	0	0	0	78	3	20	0	0	0	3	0	1	0	0	0	0	0	0	1	0	6	0	0	0	25	79	13459	419	47	0	1	0	0	11	0	3	0	0	0	0	2	0	0	0	1	0	0	0	0	43
